card_id,card,base_meaning,negative_meaning,major_arcana,minor_arcana,court_card
1,Fool,"The Fool evokes an enormous burst of energy. Wherever he goes he brings this vital impulse. Charge forward and let your worries go, trust in the universe and take the plunge.","A sense of inconsistency and madness is present. The Fool moves forward regardless of the journey, make sure your efforts are worthy.",t,f,f
2,Magician,A new beginning opens up to you. Make reasoning quick and set your focus. Make your decisions and take action.,Beware immaturity and let go of the idea that everything is possible. It is time to make a decision and commit.,t,f,f
3,High Priestess,"Stick to your ideals and morality. Maintain discipline, consider sobriety. Prepare the mind and body for the birth of something new.",Neglecting ones studies or being too cold and isolated may be a problem here.,t,f,f
4,Empress,"Let your creativity guide you. Get inspired, get energized and make your dreams reality.",Your female energy is blocked. You may have missed an opportunity recently. If expression is abused or limited the Empress gets resentful and mean. Beware negative views of the feminine.,t,f,f
5,Emperor,The Emperor asks questions of the father figure. How are you expressing your masculine traits? Take action to make you and yours secure.,Masculine energy may be blocked. It is time to pony up and work towards your security in the world.,t,f,f
6,Hierophant,Open up to communication. Stick to traditions in action but keep the mind receptive to new lessons. Seek out mentors and teachers.,Beware the hypocrisy of your religion. Gurus may be greedy and misleading. It may be time to break away from mentorship.,t,f,f
7,Lovers,Get clear on your emotional state. Take time to question yourself and how you feel. Which character on the card do you associate with currently?,Perverse love is risk here. Are you engaging in infedility?,t,f,f
8,Chariot,"Beware inflexibility and lack of caution now. A successful conquest can be a reality, particularly in the media.",Stop acting with reckless abandon. Question your methods for maneuvering out in the world. Slow down.,t,f,f
9,Justice,"Distinguish subjective from objective judgements, learn to clearly say yes and no. Wrap up any political or legal matters. You will get what you deserve.",Are you breaking the law? Themes of dictatorship may be present and harmful.,t,f,f
10,Hermit,"A change which cannot be avoided and must be accepted faces you. Look to an inner solitude, go to the secret place within you for spiritual transformation.","Crisis is afoot. Poverty, decay, solitude may be holding you back.",t,f,f
11,Wheel of Fortune,The only constant in life is change. What goes up must come down. Your luck will turn around.,You are resisting change.,t,f,f
12,Strength,Are you holding yourself back? Are you letting your creativity out or reining it in? Embrace your challenges.,The part of you that has been suppressed needs attention now.,t,f,f
13,Hanged Man,Do not make decisions now. Inaction will allow your intelligence to ripen. Make this restraint your sacrifice for better opportunity.,Unnecessary punishment of the self shold be stopped.,t,f,f
14,Death,"There is no birth without death. What do you need to mourn and express to feel peace? Death comes in peace, and wants to take from you that which holds you back. Allow the energy of creation to come forward, if this is not enough - let the revolution out.",Internalized anger needs to be expressed. Resisting change is hurting you.,t,f,f
15,Temperance,"Introduce positivity to the passions which harm. To dark add light, jealousy to trust. Look at what imbalances you and bring in the opposite. Be cautious of vices.",Assess why you are imbalanced. Polarization is harmful now.,t,f,f
16,Devil,"Promises of money come in. Examine contracts carefully right now. For questions of creativity - inspiration is within you. In all cases, let your desires guide you but keep your head.",Beware routines that trap you. You are blocked creatively and avoiding a project.,t,f,f
17,Tower,You face potential catastrophe or separation. Something less obvious is trying to reach you - stop looking for God in the sky and find him on Earth.,A great change is near.,t,f,f
18,Star,"Luck, prosperity, fertility surround you. You have found your place in life. Where does the Star spill her jars in your life? If it is in the past or into nothingness - how can this be resolved.",You are being too demanding and wasting your energy. Watch your attitude - it is potentially poisonous. Do not languish in the past.,t,f,f
19,Moon,Employ feminine qualities now. Lead with receptivity and intuition. Poorly defined anxieties will cause you harm.,Mommy issues abound and nightmares are possible.,t,f,f
20,Sun,Good luck on all accounts. Look to the father figure for awakening the soul and the mother figure for intelligence in the heart. The sun gives - take only what you need lest these gifts bring misfortune.,Daddy issues may be a factor now. The presence of the Father and your relationship with it affect you.,t,f,f
21,Judgement,Stop going against who you are. Judgements made by humans do not matter right now. Only God can judge you.,Do not avoid Spirit. Stop resisting your partner. Dismiss thoughts of self hatred and stop thinking you are unwanted.,t,f,f
22,World,"You reach understanding now. A perfect world, a happy marriage, worldly success, successful birth. If the World is at the end of a reading ask what happened in your childhood which is in the way of your success.",Your trauma is holding you back. If this appears at the beginning of the reading you have more decisions to make.,t,f,f
23,Ace of Swords,"A flash of insight, guidance to simplify the mind, cut the unnecessary. Great intellectual potential and mental capacity (think ten of wands, which is heading to meet this ace). This could indicate a great intellectual victory by using discernment or cunning. It is a good time to decide or take a stance.",Negatively it warns of verbal abuse and hurt feelings as well as an overestimation of the minds abilities.,f,t,f
24,Two of Swords,"Daydreams, plans, information and theories overflow. So many possibilities for mental accomplishment are present but none have been acted on. The intellect remains passive waiting for action. This can also indicate analysis paralysis.","It warns of foolishness, lazy thinking, paralyzing duality and a lack of focus. ",f,t,f
25,Three of Swords,The mind is ready to burst forth and eager to learn. The urge to blurt out first opinions is strong. The intellect is still immature here. The mind is spontaneous and does not discern between believing and knowing. Literally this could signify the desire to pass an exam or achieve some kind of intellectual growth.,Beware of fanaticism and abandon half-baked ideas. Be diligent in following up on worthy ideas.,f,t,f
